думк+N+IDecl+Hard+Ins+Pl	думками
думк+N+IDecl+Hard+Dat+Pl	думкам
думк+N+IDecl+Hard+Loc+Pl	думках
думк+N+IDecl+Hard+Nom	думка
думк+N+IDecl+Hard+Acc	думку
думк+N+IDecl+Hard+Acc+Pl	думки
думк+N+IDecl+Hard+Gen	думки
думк+N+IDecl+Hard+Voc+Pl	думки
думк+N+IDecl+Hard+Nom+Pl	думки
думк+N+IDecl+Hard+Ins	думкою
думк+N+IDecl+Hard+Voc	думко
думк+N+IDecl+Hard+Loc	думці
думк+N+IDecl+Hard+Dat	думці
думк+N+IDecl+Hard+Gen+Pl	думок
дит+N+IDecl+Spec+Acc+Pl	дитей
дит+N+IDecl+Spec+Gen+Pl	дитей
дит+N+IDecl+Spec+Voc+Pl	дити
дит+N+IDecl+Spec+Nom+Pl	дити
дит+N+IDecl+Spec+Dat+Pl	дитям
дит+N+IDecl+Spec+Loc+Pl	дитях
дит+N+IDecl+Spec+Ins+Pl	дитьми
дит+N+IDecl+Spec+Gen	дитини
дит+N+IDecl+Spec+Ins	дитиною
дит+N+IDecl+Spec+Voc	дитино
дит+N+IDecl+Spec+Acc	дитину
дит+N+IDecl+Spec+Loc	дитині
дит+N+IDecl+Spec+Dat	дитині
дит+N+IDecl+Spec+Nom	дитина
мрій+N+IDecl+Soft+Loc	мрії
мрій+N+IDecl+Soft+Gen	мрії
мрій+N+IDecl+Soft+Dat	мрії
мрій+N+IDecl+Soft+Ins	мрією
мрій+N+IDecl+Soft+Voc	мріє
мрій+N+IDecl+Soft+Acc	мрію
мрій+N+IDecl+Soft+Nom	мрія
особ+N+IDecl+Hard+Ins+Pl	особами
особ+N+IDecl+Hard+Dat+Pl	особам
особ+N+IDecl+Hard+Loc+Pl	особах
особ+N+IDecl+Hard+Nom	особа
особ+N+IDecl+Hard+Loc	особі
особ+N+IDecl+Hard+Dat	особі
особ+N+IDecl+Hard+Acc	особу
особ+N+IDecl+Hard+Acc+Pl	особи
особ+N+IDecl+Hard+Gen	особи
особ+N+IDecl+Hard+Voc+Pl	особи
особ+N+IDecl+Hard+Nom+Pl	особи
особ+N+IDecl+Hard+Ins	особою
особ+N+IDecl+Hard+Voc	особо
особ+N+IDecl+Hard+Gen+Pl	осіб
веж+N+IDecl+Mixed+Ins	вежею
веж+N+IDecl+Mixed+Voc	веже
веж+N+IDecl+Mixed+Ins+Pl	вежами
веж+N+IDecl+Mixed+Dat+Pl	вежам
веж+N+IDecl+Mixed+Loc+Pl	вежах
веж+N+IDecl+Mixed+Nom	вежа
веж+N+IDecl+Mixed+Loc	вежі
веж+N+IDecl+Mixed+Acc+Pl	вежі
веж+N+IDecl+Mixed+Gen	вежі
веж+N+IDecl+Mixed+Voc+Pl	вежі
веж+N+IDecl+Mixed+Nom+Pl	вежі
веж+N+IDecl+Mixed+Dat	вежі
веж+N+IDecl+Mixed+Acc	вежу
веж+N+IDecl+Mixed+Gen+Pl	веж
вишн+N+IDecl+Soft+Acc	вишню
вишн+N+IDecl+Soft+Ins	вишнею
вишн+N+IDecl+Soft+Voc	вишне
вишн+N+IDecl+Soft+Loc	вишні
вишн+N+IDecl+Soft+Gen	вишні
вишн+N+IDecl+Soft+Dat	вишні
вишн+N+IDecl+Soft+Nom	вишня
люд+N+IDecl+Spec+Acc+Pl	людей
люд+N+IDecl+Spec+Gen+Pl	людей
люд+N+IDecl+Spec+Voc+Pl	люди
люд+N+IDecl+Spec+Nom+Pl	люди
люд+N+IDecl+Spec+Dat+Pl	людям
люд+N+IDecl+Spec+Loc+Pl	людях
люд+N+IDecl+Spec+Ins+Pl	людьми
люд+N+IDecl+Spec+Gen	людини
люд+N+IDecl+Spec+Ins	людиною
люд+N+IDecl+Spec+Voc	людино
люд+N+IDecl+Spec+Acc	людину
люд+N+IDecl+Spec+Loc	людині
люд+N+IDecl+Spec+Dat	людині
люд+N+IDecl+Spec+Nom	людина
круч+N+IDecl+Mixed+Ins	кручею
круч+N+IDecl+Mixed+Voc	круче
круч+N+IDecl+Mixed+Ins+Pl	кручами
круч+N+IDecl+Mixed+Dat+Pl	кручам
круч+N+IDecl+Mixed+Loc+Pl	кручах
круч+N+IDecl+Mixed+Nom	круча
круч+N+IDecl+Mixed+Loc	кручі
круч+N+IDecl+Mixed+Acc+Pl	кручі
круч+N+IDecl+Mixed+Gen	кручі
круч+N+IDecl+Mixed+Voc+Pl	кручі
круч+N+IDecl+Mixed+Nom+Pl	кручі
круч+N+IDecl+Mixed+Dat	кручі
круч+N+IDecl+Mixed+Acc	кручу
круч+N+IDecl+Mixed+Gen+Pl	круч
змій+N+IDecl+Soft+Loc	змії
змій+N+IDecl+Soft+Gen	змії
змій+N+IDecl+Soft+Dat	змії
змій+N+IDecl+Soft+Ins	змією
змій+N+IDecl+Soft+Voc	зміє
змій+N+IDecl+Soft+Acc	змію
змій+N+IDecl+Soft+Nom	змія
голов+N+IDecl+Hard+Ins+Pl	головами
голов+N+IDecl+Hard+Dat+Pl	головам
голов+N+IDecl+Hard+Loc+Pl	головах
голов+N+IDecl+Hard+Nom	голова
голов+N+IDecl+Hard+Loc	голові
голов+N+IDecl+Hard+Dat	голові
голов+N+IDecl+Hard+Acc	голову
голов+N+IDecl+Hard+Acc+Pl	голови
голов+N+IDecl+Hard+Gen	голови
голов+N+IDecl+Hard+Voc+Pl	голови
голов+N+IDecl+Hard+Nom+Pl	голови
голов+N+IDecl+Hard+Ins	головою
голов+N+IDecl+Hard+Voc	голово
голов+N+IDecl+Hard+Gen+Pl	голів
